,COLONIA,ALCALDIA,lat,lng
1279,SAN MIGUEL (AMPL),TLAHUAC,19.2931274683,-98.9741178078
1280,TLACUITLAPA,ALVARO OBREGON,19.3528054454,-99.2413630129
1281,BELEN DE LAS FLORES (U HAB),ALVARO OBREGON,19.3854328902,-99.2229820331
1282,TOLTECA,ALVARO OBREGON,19.3905099281,-99.1974886311
1283,TORRES SAN ANTONIO (U HAB),ALVARO OBREGON,19.3851112846,-99.1944804805
1284,PILOTO (ADOLFO LOPEZ MATEOS),ALVARO OBREGON,19.3724556468,-99.2323642889
1285,PUENTE COLORADO (AMPL),ALVARO OBREGON,19.3455869407,-99.2300172684
1286,PUNTA DE CEHUAYO,ALVARO OBREGON,19.3610735121,-99.2411679808
1287,PALMAS AXOTITLA,ALVARO OBREGON,19.3529518624,-99.2369749519
1288,COOPERATIVA CEHUAYO,ALVARO OBREGON,19.3583500028,-99.2429731791
1289,BONANZA,ALVARO OBREGON,19.3863173777,-99.2154642836
1290,INFONAVIT IZTACALCO (U HAB) II,IZTACALCO,19.3824257348,-99.1060694189
1291,LA HABANA,TLAHUAC,19.2678599221,-98.995854647
1292,LA MESA,TLAHUAC,19.3163773887,-98.9675263448
1293,NUEVA STA ANITA,IZTACALCO,19.399062223,-99.1268200491
1294,LA MEXICANA,ALVARO OBREGON,19.3820486313,-99.2316289992
1295,LA PALMITA,ALVARO OBREGON,19.3842795106,-99.2263774794
1296,LA OTRA BANDA,ALVARO OBREGON,19.3368893242,-99.1950357519
1297,LA ANGOSTURA,ALVARO OBREGON,19.3330055061,-99.2324372423
1298,CENTRO VII,CUAUHTEMOC,19.4302248036,-99.1281413675
1299,AHUATENCO,CUAJIMALPA DE MORELOS,19.3662504186,-99.3045160699
1300,DESARROLLO URBANO QUETZALCOATL  II,IZTAPALAPA,19.3285589831,-99.0432385251
1301,CAROLOS PACHECO (U HAB),IZTAPALAPA,19.3638315704,-99.0300634389
1302,SANTA CRUZ MEYEHUALCO (PBLO),IZTAPALAPA,19.3400600728,-99.0407415134
1303,SECTOR POPULAR,IZTAPALAPA,19.366609236,-99.1176978996
1304,SAN IGNACIO (BARR),IZTAPALAPA,19.3648228406,-99.0962926077
1305,POLVORILLA (AMPL),IZTAPALAPA,19.3169845037,-99.0448080494
1306,LA MAGUEYERA,IZTAPALAPA,19.3207226812,-99.0441084738
1307,LA ESTACION,IZTAPALAPA,19.314880475,-99.0421652211
1308,LAS PEAS I,IZTAPALAPA,19.3356493615,-99.0509843061
1309,MINAS POLVORILLA (U HAB),IZTAPALAPA,19.3142996782,-99.0447614802
1310,LA REGADERA,IZTAPALAPA,19.3531121583,-99.0640559715
1311,PROGRESO DEL SUR,IZTAPALAPA,19.353289982,-99.1120436285
1312,ZONA MILITAR FAVE SEDENA (U HAB),IZTAPALAPA,19.3119191914,-99.0848239403
1313,TLALTENCO (U HAB),IZTAPALAPA,19.2900847197,-99.0683250686
1314,XOPA (U HAB),IZTAPALAPA,19.3603783924,-99.1250671758
1315,USCOVI (U HAB),IZTAPALAPA,19.294002991,-99.0689524006
1316,NARVARTE V,BENITO JUAREZ,19.3860505701,-99.1571597677
1317,PORTALES III,BENITO JUAREZ,19.3632112784,-99.1488866713
1318,DEL VALLE VII,BENITO JUAREZ,19.3681360911,-99.1713258057
1319,SAN PABLO CHIMALPA (PBLO),CUAJIMALPA DE MORELOS,19.3508879239,-99.321227559
1320,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3602067583,-99.2716358348
1321,TEXCALCO,CUAJIMALPA DE MORELOS,19.3271645363,-99.332264713
1322,LAS TINAJAS,CUAJIMALPA DE MORELOS,19.3553597132,-99.2823610237
1323,INDEPENDENCIA BATAN SUR (U HAB),LA MAGDALENA CONTRERAS,19.3327022702,-99.2115351938
1324,NAPOLES (AMPL),BENITO JUAREZ,19.387303224,-99.1777280682
1325,EL VERGEL,IZTAPALAPA,19.3170274024,-99.0809707518
1326,CASA BLANCA,IZTAPALAPA,19.3322535896,-99.0674332056
1327,EL TRIUNFO (AMPL),IZTAPALAPA,19.3762465465,-99.1163292593
1328,CABEZA DE JUAREZ II (U HAB),IZTAPALAPA,19.3847284807,-99.042342046
1329,LETRAN VALLE,BENITO JUAREZ,19.3761321539,-99.1550666351
1330,NIOS HEROES DE CHAPULTEPEC,BENITO JUAREZ,19.3862840232,-99.1440851495
1331,GUERRERO I,CUAUHTEMOC,19.4490761845,-99.1437494279
1332,NONOALCO-TLATELOLCO (U HAB) II,CUAUHTEMOC,19.4533147946,-99.1417694775
1333,CHAPULTEPEC MORALES (POLANCO),MIGUEL HIDALGO,19.4343532798,-99.1866020156
1334,FOVISSTE ARAGON (U HAB),GUSTAVO A. MADERO,19.4544328942,-99.0610812396
1335,ARAGON INGUARAN,GUSTAVO A. MADERO,19.4707239695,-99.1074788222
1336,NUEVA SANTA MARIA,AZCAPOTZALCO,19.4628408836,-99.1679884039
1337,PORVENIR,AZCAPOTZALCO,19.4711325072,-99.1467833143
1338,SAN ANDRES (BARR),AZCAPOTZALCO,19.4921465056,-99.1802886139
1339,SAN ANDRES (PBLO),AZCAPOTZALCO,19.4932654985,-99.1841577999
1340,SAN PEDRO ATOCPAN (PBLO),MILPA ALTA,19.2055849843,-99.0485933333
1341,DOLORES TLALI,TLALPAN,19.2417972938,-99.1458034749
